DATE,RELACBW027SBOG
1992-01-15,869.4511
1992-01-22,870.8477
1992-01-29,873.0362
1992-02-05,873.8752
1992-02-12,873.7734
1992-02-19,873.4565
1992-02-26,873.0336
1992-03-04,873.0953
1992-03-11,874.2994
1992-03-18,873.5515
1992-03-25,873.2428
1992-04-01,879.6248
1992-04-08,879.7038
1992-04-15,881.4588
1992-04-22,881.1945
1992-04-29,882.2695
1992-05-06,883.0211
1992-05-13,883.1033
1992-05-20,882.4239
1992-05-27,879.7986
1992-06-03,879.6905
1992-06-10,880.552
1992-06-17,879.4888
1992-06-24,878.4066
1992-07-01,878.7484
1992-07-08,878.3752
1992-07-15,877.5155
1992-07-22,878.3132
1992-07-29,879.4527
1992-08-05,880.1598
1992-08-12,879.6007
1992-08-19,879.3203
1992-08-26,880.3297
1992-09-02,881.7758
1992-09-09,882.2927
1992-09-16,882.3805
1992-09-23,883.3255
1992-09-30,883.8135
1992-10-07,885.5051
1992-10-14,884.9196
1992-10-21,885.0879
1992-10-28,886.8215
1992-11-04,887.5771
1992-11-11,888.3075
1992-11-18,886.8949
1992-11-25,886.5471
1992-12-02,885.9708
1992-12-09,888.0575
1992-12-16,888.3434
1992-12-23,888.1023
1992-12-30,887.753
1993-01-06,885.8021
1993-01-13,887.2571
1993-01-20,886.1967
1993-01-27,885.1168
1993-02-03,886.0911
1993-02-10,886.9363
1993-02-17,886.592
1993-02-24,886.4346
1993-03-03,889.2288
1993-03-10,889.2705
1993-03-17,888.0165
1993-03-24,889.8782
1993-03-31,892.8633
1993-04-07,891.7049
1993-04-14,892.3062
1993-04-21,891.9322
1993-04-28,894.0956
1993-05-05,895.8064
1993-05-12,897.7092
1993-05-19,897.2056
1993-05-26,899.0052
1993-06-02,901.1746
1993-06-09,901.8541
1993-06-16,902.3439
1993-06-23,900.9506
1993-06-30,904.4627
1993-07-07,904.4167
1993-07-14,904.0166
1993-07-21,903.6837
1993-07-28,904.6573
1993-08-04,906.3486
1993-08-11,907.3333
1993-08-18,906.496
1993-08-25,906.7703
1993-09-01,909.2407
1993-09-08,910.2725
1993-09-15,910.2167
1993-09-22,909.723
1993-09-29,912.2432
1993-10-06,913.284
1993-10-13,915.5842
1993-10-20,915.3926
1993-10-27,914.6637
1993-11-03,915.1951
1993-11-10,917.3836
1993-11-17,917.1147
1993-11-24,918.3112
1993-12-01,926.4764
1993-12-08,927.7883
1993-12-15,929.8297
1993-12-22,926.9007
1993-12-29,930.1974
1994-01-05,929.8501
1994-01-12,930.6629
1994-01-19,928.6511
1994-01-26,928.2633
1994-02-02,930.2853
1994-02-09,930.5092
1994-02-16,929.4629
1994-02-23,928.1321
1994-03-02,930.2302
1994-03-09,931.1041
1994-03-16,931.5719
1994-03-23,931.9138
1994-03-30,933.3079
1994-04-06,934.9422
1994-04-13,936.4314
1994-04-20,935.3861
1994-04-27,934.5562
1994-05-04,937.5147
1994-05-11,939.0208
1994-05-18,938.4706
1994-05-25,940.3482
1994-06-01,942.9427
1994-06-08,943.175
1994-06-15,943.9698
1994-06-22,943.7944
1994-06-29,947.5494
1994-07-06,948.0761
1994-07-13,950.6104
1994-07-20,951.9978
1994-07-27,953.1302
1994-08-03,954.1408
1994-08-10,954.2751
1994-08-17,957.2224
1994-08-24,958.6226
1994-08-31,961.3979
1994-09-07,961.232
1994-09-14,963.6947
1994-09-21,966.7236
1994-09-28,967.5063
1994-10-05,969.4731
1994-10-12,969.8656
1994-10-19,971.2025
1994-10-26,971.4749
1994-11-02,974.4579
1994-11-09,974.4949
1994-11-16,977.3049
1994-11-23,979.2228
1994-11-30,980.1233
1994-12-07,983.9118
1994-12-14,985.8144
1994-12-21,990.0506
1994-12-28,990.4682
1995-01-04,990.658
1995-01-11,993.0449
1995-01-18,996.1848
1995-01-25,999.625
1995-02-01,1002.4485
1995-02-08,1002.1539
1995-02-15,1004.308
1995-02-22,1008.7641
1995-03-01,1010.6875
1995-03-08,1009.7114
1995-03-15,1012.3346
1995-03-22,1015.9232
1995-03-29,1016.5283
1995-04-05,1015.9425
1995-04-12,1016.8754
1995-04-19,1020.3943
1995-04-26,1022.8096
