DATE,RHEACBW027SBOG
1999-06-23,99.225
1999-06-30,93.2032
1999-07-07,92.728
1999-07-14,94.1698
1999-07-21,95.6818
1999-07-28,98.0785
1999-08-04,97.9125
1999-08-11,97.9576
1999-08-18,97.9784
1999-08-25,98.641
1999-09-01,98.6284
1999-09-08,98.7709
1999-09-15,99.1841
1999-09-22,97.8615
1999-09-29,98.4253
1999-10-06,98.8177
1999-10-13,99.3993
1999-10-20,99.0884
1999-10-27,98.8876
1999-11-03,99.4345
1999-11-10,99.4792
1999-11-17,99.8529
1999-11-24,100.1132
1999-12-01,100.0273
1999-12-08,99.7997
1999-12-15,100.7277
1999-12-22,101.5318
1999-12-29,102.2326
2000-01-05,103.8416
2000-01-12,104.7491
2000-01-19,105.1164
2000-01-26,105.6263
2000-02-02,105.6449
2000-02-09,106.0104
2000-02-16,106.385
2000-02-23,107.2699
2000-03-01,107.5313
2000-03-08,107.9623
2000-03-15,108.2845
2000-03-22,108.6169
2000-03-29,109.213
2000-04-05,110.4841
2000-04-12,110.5242
2000-04-19,111.4732
2000-04-26,112.058
2000-05-03,112.8674
2000-05-10,113.3115
2000-05-17,113.4139
2000-05-24,113.5272
2000-05-31,113.7616
2000-06-07,113.9841
2000-06-14,114.3499
2000-06-21,113.1966
2000-06-28,116.095
2000-07-05,118.4166
2000-07-12,118.026
2000-07-19,118.2601
2000-07-26,118.7159
2000-08-02,119.0466
2000-08-09,119.3989
2000-08-16,120.218
2000-08-23,120.6024
2000-08-30,120.4557
2000-09-06,120.7016
2000-09-13,121.3841
2000-09-20,122.2715
2000-09-27,122.8312
2000-10-04,122.9138
2000-10-11,123.2146
2000-10-18,123.5809
2000-10-25,124.0294
2000-11-01,124.5709
2000-11-08,125.295
2000-11-15,125.719
2000-11-22,126.0106
2000-11-29,126.5912
2000-12-06,127.8394
2000-12-13,127.5858
2000-12-20,127.8693
2000-12-27,128.6677
2001-01-03,127.7189
2001-01-10,128.1652
2001-01-17,128.4044
2001-01-24,128.953
2001-01-31,129.5002
2001-02-07,129.7237
2001-02-14,130.5706
2001-02-21,130.8487
2001-02-28,131.2721
2001-03-07,131.5089
2001-03-14,131.6203
2001-03-21,132.6665
2001-03-28,132.2491
2001-04-04,132.1083
2001-04-11,132.5774
2001-04-18,132.9292
2001-04-25,133.3768
2001-05-02,134.0473
2001-05-09,134.7341
2001-05-16,135.133
2001-05-23,135.6338
2001-05-30,135.166
2001-06-06,135.6121
2001-06-13,135.7006
2001-06-20,135.8395
2001-06-27,136.9711
2001-07-04,137.4702
2001-07-11,137.2274
2001-07-18,137.8429
2001-07-25,137.9373
2001-08-01,139.0452
2001-08-08,139.1401
2001-08-15,139.7972
2001-08-22,140.9318
2001-08-29,141.564
2001-09-05,142.2407
2001-09-12,143.187
2001-09-19,144.3549
2001-09-26,144.5642
2001-10-03,145.7714
2001-10-10,146.7695
2001-10-17,147.3531
2001-10-24,148.5502
2001-10-31,149.4466
2001-11-07,149.8398
2001-11-14,150.0345
2001-11-21,150.5732
2001-11-28,151.0346
2001-12-05,152.6453
2001-12-12,153.0958
2001-12-19,153.7089
2001-12-26,154.3015
2002-01-02,155.3682
2002-01-09,156.4621
2002-01-16,156.7834
2002-01-23,157.872
2002-01-30,158.8156
2002-02-06,159.9819
2002-02-13,160.9626
2002-02-20,161.7432
2002-02-27,162.4328
2002-03-06,163.8661
2002-03-13,164.7638
2002-03-20,165.2364
2002-03-27,166.6962
2002-04-03,169.0302
2002-04-10,170.2146
2002-04-17,171.4848
2002-04-24,172.1439
2002-05-01,173.8262
2002-05-08,175.5445
2002-05-15,177.1766
2002-05-22,178.2348
2002-05-29,179.4438
2002-06-05,181.1135
2002-06-12,182.3198
2002-06-19,183.2191
2002-06-26,185.3165
2002-07-03,187.6539
2002-07-10,188.5054
2002-07-17,189.5221
2002-07-24,190.5604
2002-07-31,192.3195
2002-08-07,193.7249
2002-08-14,195.2477
2002-08-21,193.9459
2002-08-28,195.4885
2002-09-04,196.1829
2002-09-11,197.2917
2002-09-18,198.0187
2002-09-25,200.0282
2002-10-02,203.3324
2002-10-09,204.4609
2002-10-16,205.1006
2002-10-23,204.6127
2002-10-30,205.4088
2002-11-06,206.1024
2002-11-13,206.6006
2002-11-20,207.5877
2002-11-27,208.7818
2002-12-04,210.1502
2002-12-11,211.1476
2002-12-18,212.6674
2002-12-25,212.7982
2003-01-01,214.651
2003-01-08,214.2097
2003-01-15,217.4744
2003-01-22,218.6512
2003-01-29,219.7435
2003-02-05,221.4995
2003-02-12,222.204
2003-02-19,223.4183
2003-02-26,224.741
2003-03-05,226.3458
2003-03-12,227.3303
2003-03-19,228.6052
2003-03-26,228.9039
2003-04-02,230.7651
2003-04-09,231.9303
2003-04-16,232.4143
2003-04-23,233.8663
2003-04-30,234.5602
2003-05-07,235.6749
2003-05-14,236.7022
2003-05-21,237.7107
2003-05-28,238.77
2003-06-04,240.9755
2003-06-11,242.147
2003-06-18,243.0559
2003-06-25,244.4407
2003-07-02,245.4723
2003-07-09,246.3998
2003-07-16,247.4679
2003-07-23,248.3159
2003-07-30,249.4915
2003-08-06,250.5997
2003-08-13,251.7241
2003-08-20,253.1034
2003-08-27,253.9255
2003-09-03,255.4112
2003-09-10,256.8238
2003-09-17,258.0177
2003-09-24,259.6847
2003-10-01,260.8786
2003-10-08,262.4201
2003-10-15,263.9301
2003-10-22,265.4796
2003-10-29,267.405
2003-11-05,268.6654
2003-11-12,270.1553
2003-11-19,271.7309
2003-11-26,273.5413
2003-12-03,271.3058
2003-12-10,273.5397
2003-12-17,278.9521
2003-12-24,281.4606
2003-12-31,283.9225
2004-01-07,286.3987
2004-01-14,287.962
2004-01-21,289.1262
2004-01-28,291.3239
2004-02-04,293.8081
2004-02-11,296.063
2004-02-18,297.4951
2004-02-25,299.466
2004-03-03,300.8885
2004-03-10,303.2447
2004-03-17,306.1357
2004-03-24,308.5873
2004-03-31,310.3168
2004-04-07,313.1004
2004-04-14,314.6129
2004-04-21,317.7749
2004-04-28,319.3843
2004-05-05,322.4675
2004-05-12,325.7798
2004-05-19,327.5588
2004-05-26,329.8311
2004-06-02,331.4159
2004-06-09,333.8308
2004-06-16,335.5398
2004-06-23,337.953
2004-06-30,339.8458
2004-07-07,341.4406
2004-07-14,343.8487
2004-07-21,345.9873
2004-07-28,348.0244
2004-08-04,351.4251
2004-08-11,353.97
2004-08-18,356.8627
2004-08-25,359.4472
2004-09-01,362.3332
2004-09-08,364.5528
2004-09-15,367.3024
2004-09-22,369.9271
2004-09-29,373.1525
2004-10-06,376.0801
2004-10-13,377.6415
2004-10-20,383.3419
2004-10-27,385.4995
2004-11-03,386.5952
2004-11-10,388.0399
2004-11-17,389.0514
2004-11-24,389.7396
2004-12-01,392.4507
2004-12-08,394.0594
2004-12-15,394.6013
2004-12-22,394.9467
2004-12-29,396.6587
2005-01-05,400.4403
2005-01-12,401.2799
2005-01-19,402.1693
2005-01-26,403.954
2005-02-02,405.0346
2005-02-09,406.0227
2005-02-16,407.184
2005-02-23,410.6268
2005-03-02,411.0795
2005-03-09,413.5551
2005-03-16,414.8835
2005-03-23,416.6281
2005-03-30,417.6215
2005-04-06,418.7144
2005-04-13,420.0114
2005-04-20,421.3191
2005-04-27,423.0027
2005-05-04,423.8954
2005-05-11,425.1597
2005-05-18,426.9828
2005-05-25,428.6493
2005-06-01,429.8948
2005-06-08,430.6144
2005-06-15,431.468
2005-06-22,431.1334
2005-06-29,433.6787
2005-07-06,434.7252
2005-07-13,435.5134
2005-07-20,438.0776
2005-07-27,438.3962
2005-08-03,439.6851
2005-08-10,440.1348
2005-08-17,441.0687
2005-08-24,441.2909
2005-08-31,442.079
2005-09-07,441.9031
2005-09-14,441.9457
2005-09-21,442.5374
2005-09-28,443.9225
2005-10-05,441.4099
2005-10-12,441.9184
2005-10-19,442.9711
2005-10-26,442.9696
2005-11-02,442.3351
2005-11-09,442.5212
2005-11-16,441.4705
2005-11-23,442.3835
2005-11-30,442.5647
2005-12-07,444.491
2005-12-14,443.6926
2005-12-21,442.7246
2005-12-28,443.4889
2006-01-04,442.0237
2006-01-11,442.7683
2006-01-18,443.4652
2006-01-25,444.4229
2006-02-01,444.8848
2006-02-08,445.48
2006-02-15,446.0554
2006-02-22,446.5261
2006-03-01,447.0794
2006-03-08,447.4742
2006-03-15,448.3349
2006-03-22,447.9119
2006-03-29,448.9875
2006-04-05,448.0738
2006-04-12,447.9979
2006-04-19,448.1108
2006-04-26,447.8089
2006-05-03,448.4887
2006-05-10,448.3229
2006-05-17,448.6238
2006-05-24,448.3251
2006-05-31,449.6554
2006-06-07,449.9971
2006-06-14,449.8673
2006-06-21,450.4634
2006-06-28,450.8149
2006-07-05,451.4061
2006-07-12,451.1405
2006-07-19,451.5979
2006-07-26,452.3505
2006-08-02,450.731
2006-08-09,448.2479
2006-08-16,447.9817
2006-08-23,448.5782
2006-08-30,448.5157
2006-09-06,448.4401
2006-09-13,448.7003
2006-09-20,448.9622
2006-09-27,449.3494
2006-10-04,465.6041
2006-10-11,466.5457
2006-10-18,466.013
2006-10-25,465.4112
2006-11-01,466.2531
2006-11-08,465.6727
2006-11-15,466.1727
2006-11-22,464.8321
2006-11-29,466.4273
2006-12-06,467.4812
2006-12-13,467.3727
2006-12-20,468.5075
2006-12-27,469.3732
2007-01-03,469.157
2007-01-10,470.1084
2007-01-17,470.3554
2007-01-24,470.5111
2007-01-31,470.7032
2007-02-07,469.9552
2007-02-14,470.9211
2007-02-21,471.0423
2007-02-28,471.0828
2007-03-07,470.9825
2007-03-14,457.6571
2007-03-21,458.4408
2007-03-28,458.9568
2007-04-04,457.8923
2007-04-11,458.7263
2007-04-18,459.4887
2007-04-25,459.517
2007-05-02,459.4334
2007-05-09,460.3325
2007-05-16,460.7216
2007-05-23,461.4874
2007-05-30,461.3155
2007-06-06,461.3634
2007-06-13,461.6653
2007-06-20,462.2339
2007-06-27,462.9545
2007-07-04,462.0431
2007-07-11,463.3398
2007-07-18,464.1381
2007-07-25,464.414
2007-08-01,464.8139
2007-08-08,466.4067
2007-08-15,467.5351
2007-08-22,468.6952
2007-08-29,469.2595
2007-09-05,470.5449
2007-09-12,471.2332
2007-09-19,472.1733
2007-09-26,472.3555
2007-10-03,473.8042
2007-10-10,475.0456
2007-10-17,477.1254
2007-10-24,478.0218
2007-10-31,479.0168
2007-11-07,480.1824
2007-11-14,481.2247
2007-11-21,481.0204
2007-11-28,482.4578
2007-12-05,483.4071
2007-12-12,483.9854
2007-12-19,484.9745
2007-12-26,485.4847
2008-01-02,486.1575
2008-01-09,487.2011
2008-01-16,487.4779
2008-01-23,488.6959
2008-01-30,489.3614
2008-02-06,490.0317
2008-02-13,492.0671
2008-02-20,492.9153
2008-02-27,494.0425
2008-03-05,495.5528
2008-03-12,496.3773
2008-03-19,497.495
2008-03-26,497.1036
2008-04-02,498.6612
2008-04-09,500.6604
2008-04-16,502.4068
2008-04-23,503.7193
2008-04-30,505.1803
2008-05-07,506.3081
2008-05-14,507.3472
2008-05-21,508.1046
2008-05-28,509.4605
2008-06-04,510.804
2008-06-11,511.7541
2008-06-18,512.8337
2008-06-25,516.0498
2008-07-02,518.4189
2008-07-09,519.737
2008-07-16,520.6302
